date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:23:17	11887/11887	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2019:23:16%20GMT	http://phydev.web44.net/flame/single-portfolio.html	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/single-portfolio.html	(from http://phydev.web44.net/flame/index-1.html)
15:23:20	36017/36017	---M--	200	added ('OK')	image/jpeg	date:Sun,%2019%20Nov%202017%2022:43:48%20GMT	http://phydev.web44.net/flame/img/p-1.jpg	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/img/p-1.jpg	(from http://phydev.web44.net/flame/index-1.html)
15:23:20	50660/50660	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Sep%202017%2002:21:17%20GMT	http://phydev.web44.net/bamboo/img/about-img.jpg	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/bamboo/img/about-img.jpg	(from http://phydev.web44.net/flame/index-1.html)
15:23:21	26024/26024	---M--	200	added ('OK')	image/jpeg	date:Sun,%2019%20Nov%202017%2022:43:52%20GMT	http://phydev.web44.net/flame/img/p-2.jpg	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/img/p-2.jpg	(from http://phydev.web44.net/flame/index-1.html)
15:23:22	2528/2528	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jun%202017%2014:00:50%20GMT	http://phydev.web44.net/erizo/img/t-1.jpg	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/erizo/img/t-1.jpg	(from http://phydev.web44.net/flame/index-1.html)
15:23:22	1466/1466	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jun%202017%2014:00:50%20GMT	http://phydev.web44.net/erizo/img/t-6.jpg	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/erizo/img/t-6.jpg	(from http://phydev.web44.net/flame/index-1.html)
15:23:22	2097/2097	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jun%202017%2014:00:50%20GMT	http://phydev.web44.net/erizo/img/t-5.jpg	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/erizo/img/t-5.jpg	(from http://phydev.web44.net/flame/index-1.html)
15:23:24	30713/30713	---M--	200	added ('OK')	image/jpeg	date:Sun,%2019%20Nov%202017%2022:44:08%20GMT	http://phydev.web44.net/flame/img/p-5.jpg	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/img/p-5.jpg	(from http://phydev.web44.net/flame/index-1.html)
15:23:24	58387/58387	---M--	200	added ('OK')	image/jpeg	date:Sun,%2019%20Nov%202017%2022:43:59%20GMT	http://phydev.web44.net/flame/img/p-3.jpg	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/img/p-3.jpg	(from http://phydev.web44.net/flame/index-1.html)
15:23:25	10008/10008	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2019:23:22%20GMT	http://phydev.web44.net/flame/single-post.html	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/single-post.html	(from http://phydev.web44.net/flame/index-1.html)
15:23:29	34005/34005	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202017%2012:07:30%20GMT	http://phydev.web44.net/wassabi/images/blogs/b-2.jpg	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/wassabi/images/blogs/b-2.jpg	(from http://phydev.web44.net/flame/index-1.html)
15:23:30	2126/2126	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2019%20Nov%202017%2022:42:28%20GMT	http://phydev.web44.net/flame/js/jquery.typer.js	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/js/jquery.typer.js	(from http://phydev.web44.net/flame/index-1.html)
15:23:30	37045/37045	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2019%20Nov%202017%2022:42:22%20GMT	http://phydev.web44.net/flame/js/bootstrap.min.js	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/js/bootstrap.min.js	(from http://phydev.web44.net/flame/index-1.html)
15:23:30	3761/3761	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2019%20Nov%202017%2022:42:20%20GMT	http://phydev.web44.net/flame/js/jquery.countTo.js	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/js/jquery.countTo.js	(from http://phydev.web44.net/flame/index-1.html)
15:23:30	89699/89699	---M--	200	added ('OK')	image/jpeg	date:Sun,%2019%20Nov%202017%2022:43:06%20GMT	http://phydev.web44.net/flame/img/b-1.jpg	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/img/b-1.jpg	(from http://phydev.web44.net/flame/index-1.html)
15:23:31	20216/20216	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2019%20Nov%202017%2022:42:24%20GMT	http://phydev.web44.net/flame/js/jquery.magnific-popup.min.js	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/js/jquery.magnific-popup.min.js	(from http://phydev.web44.net/flame/index-1.html)
15:23:31	10346/10346	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2008%20Feb%202018%2016:14:42%20GMT	http://phydev.web44.net/flame/js/main.js	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/js/main.js	(from http://phydev.web44.net/flame/index-1.html)
15:23:32	97163/97163	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2019%20Nov%202017%2022:42:30%20GMT	http://phydev.web44.net/flame/js/jquery.min.js	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/js/jquery.min.js	(from http://phydev.web44.net/flame/index-1.html)
